headline_text,article_url,article_preview,date,author
Abbie Quinnen reveals she is 'not fully recovered' from second and third degree burns in emotional post one year on from horror accident,/tvshowbiz/article-10423323/Abbie-Quinnen-details-recovery-second-degree-burns.html,Abbie Quinnen shared an emotional Instagram post on Wednesday  as she reflected on her scars one year after suffering second and third degree burns in a horror accident.,2022-01-20 18:14:55,Lydia Burns For Mailonline
EastEnders' former set is torn down as workmen strip away old buildings deemed 'not fit for purpose' after show moved to new £87m location,/tvshowbiz/article-10423821/EastEnders-former-set-torn-workmen-strip-away-old-buildings-deemed-not-fit-purpose.html,Workmen were spotted on the old set used for Albert Square on Thursday to begin  the long removal process.,2022-01-20 18:20:12,Sean O'grady For Mailonline
Cynthia Nixon poses up with her real-life wife Christine Marinoni and on-screen love interest Che in BTS snaps from episode 8 of And Just Like That,/tvshowbiz/article-10423977/Cynthia-Nixon-shares-scenes-look-episode-eight-HBO-Maxs-Just-Like-That.html,The 55-year-old native New Yorker posed with her onscreen love interest Sara Ramírez as well as her real-life wife Christine Marinoni,2022-01-20 18:26:00,Cassie Carpenter For Dailymail.Com
"Drake's ex Sophie Brussaux shares photos where she is kissing their son Adonis, four, on the beach: 'When your toddler doesn't want to pose'",/tvshowbiz/article-10423673/Drakes-ex-Sophie-Brussaux-shares-photos-kissing-son-Adonis-want-pose.html,"It may have been difficult for Sophie Brussaux to get her son Adonis to pose for a photo, but she finally made the photos happen. The artist, 32, shared several beach snaps of her son Adonis.",2022-01-20 18:28:52,Mark Mcgreal
Mark Wright celebrates his 35th birthday in style as he pulls his 'first pint in his bar' at his new '£3.5m' Essex mansion during renovation work,/tvshowbiz/article-10423897/Mark-Wright-celebrates-35th-birthday-style-pulls-pint-bar.html,"Mark Wright, rang in his day with a celebratory pint in the bar area of his new '£3.5million' mansion in Essex, on Thursday.",2022-01-20 18:29:49,Laura Parkin For Mailonline
Lauren Goodger shares snap of her stomach four days after giving birth to celebrate daughter Larose turning 6 months old - after kicking beau Charles Drury out of their family home,/tvshowbiz/article-10423885/Lauren-Goodger-shares-slew-snaps-celebrate-daughter-turning-six-months-old.html,"Lauren Goodger has shared a slew of snaps, including her stomach four days after giving birth, to celebrate her daughter turning six months old.",2022-01-20 18:37:25,Jonathan Rose For Mailonline
Khloe Kardashian is leaning on mom Kris Jenner for support after Tristan Thompson cheated and conceived secret child: 'She is really struggling',/tvshowbiz/article-10423713/Khloe-Kardashian-leaning-mom-Kris-Jenner-support-Tristan-Thompson-cheated.html,"Earlier this month, Tristan Thompson confirmed he fathered a child - a boy- with Maralee Nichols. And Khloe Kardashian , 37, is leaning on her mom Kris Jenner , 66, for support.",2022-01-20 18:42:38,Sarah Sotoodeh For Dailymail.com
EXCLUSIVE: 'I couldn't push my body beyond its capabilities': Apprentice star Shama Amin discusses decision to QUIT due to rheumatoid arthritis as she insists 'my health comes first',/tvshowbiz/article-10424163/Apprentice-star-Shama-Amin-discusses-decision-QUIT.html,"Shama Amin has discussed the difficult decision to quit The Apprentice after struggling with her rheumatoid arthritis, which made it too hard for her to carry on.",2022-01-20 19:02:37,Sarah Packer
Addison Rae poses in a curve-hugging strapless dress with long gloves as she shares flashback photos from her trip to England: 'Miss u London!',/tvshowbiz/article-10423971/Addison-Rae-poses-curve-hugging-strapless-dress-shares-flashback-photos.html,"In the shots, the 21-year-old TikTok personality was seen taking in all the sights that London had to offer and posing in several locations during her trip, which occurred this past November.",2022-01-20 19:14:50,Sam Joseph Semon For Dailymail.com
Eamonn Holmes claims ITV are 'heavily' advertising GMB for the first time ever in response to his GB News programme 'impacting their viewers' - after he was axed from This Morning,/tvshowbiz/article-10424045/Eamonn-Holmes-accuses-ITVs-Good-Morning-Britain-BBC-Breakfast-heavily-advertising.html,"The presenter, 62, left ITV and his This Morning hosting gig late last year and is now fronting a breakfast show on GB News with Isabel Webster.",2022-01-20 19:17:15,Amelia Wynne For Mailonline
Kelly Brook nails winter chic in a grey wool coat and denim jeans as she heads to work at Heart Radio,/tvshowbiz/article-10424087/Kelly-Brook-nails-winter-chic-grey-wool-coat-denim-jeans-heads-work-Heart-Radio.html,"The presenter, 40, looked stunning in the trendy ensemble as she smiled for the cameras outside the studio on Thursday.",2022-01-20 19:21:43,Jonathan Rose For Mailonline
Wallace & Gromit set to return for new film in 2024 as BBC confirm first special in over a decade,/tvshowbiz/article-10424069/Wallace-Gromit-set-return-new-film-2024.html,The comedy franchise is set for a comeback as the BBC confirmed a new spin-off is in the works and set for Christmas 2024.,2022-01-20 19:22:32,Sean O'grady For Mailonline
Jamie Spears' request to unseal Britney's medical records is denied by judge ... who cites pop star's 'right to privacy over her private medical information',/tvshowbiz/article-10424091/Jamie-Spears-wants-Britneys-medical-records-unsealed-defends-against-spying-accusations.html,"The judge on Wednesday ruled to seal the conservatorship termination plan, citing Britney's 'right to privacy over her private medical information'",2022-01-20 19:27:55,Caitlyn Becker For Dailymail.com
Ana de Armas takes the plunge in a silk brown gown for new Estée Lauder 'Revitalizing Supreme+' campaign,/tvshowbiz/article-10424237/Ana-Armas-takes-plunge-silk-brown-gown-new-Est-e-Lauder-campaign.html,The Cuban 33-year-old said she was 'obsessed' with the most expensive product of the nine-piece collection - the $115 Moisturizer Youth Power Creme,2022-01-20 19:45:15,Cassie Carpenter For Dailymail.Com
Darth Vader actor Spencer Wilding tucks prop gun into his belt while arriving on Batgirl set in Glasgow as they film dramatic EXPLOSION scene,/tvshowbiz/article-10424207/Spencer-Wilding-tucks-prop-gun-gun-belt-arrives-Batgirl-set.html,"The Darth Vader actor, who towers over his co-stars at 6ft 7inches, could be seen tucking a prop gun into his belt as he got into character on set.",2022-01-20 19:54:27,Charlotte Dean For Mailonline
The Bachelor's Locky Gilbert comes to blows with Paul Fenech in tense SAS Australia trailer... before the comedian strips NAKED in front of the recruits,/tvshowbiz/article-10421853/SAS-Australia-Pauly-Fenech-comes-blows-Locky-Gilbert-trailer.html,"A furious Locky, 31, calls Paul, 49, a 'liability' and tells the comedian to his face he 'doesn't trust' him in confronting scenes",2022-01-20 19:55:36,Nicole Douglas For Daily Mail Australia
Abbey Clancy shows off her modelling prowess in white figure-hugging jumpsuit and cowboy boots for sizzling snaps,/tvshowbiz/article-10424261/Abbey-Clancy-shows-modelling-prowess-white-figure-hugging-jumpsuit-sizzling-snaps.html,"The mother-of-four, 35, took to Instagram on Thursday to share the photos and captioned the post using three white doves.",2022-01-20 19:57:56,Jonathan Rose For Mailonline
Pregnant Tracy Beaker star Dani Harmer reveals she has gestational diabetes - just weeks before her due date,/tvshowbiz/article-10424229/Pregnant-Tracy-Beaker-star-Dani-Harmer-reveals-gestational-diabetes-diagnosis.html,Pregnant Tracy Beaker star Dani Harmer has revealed that she has been diagnosed with gestational diabetes as she approaches her final weeks of pregnancy. ,2022-01-20 20:00:44,Laura Parkin For Mailonline
Gwyneth Paltrow announces new 'Hands Off My Vagina' candle benefitting ACLU in honor of Roe v. Wade anniversary ,/tvshowbiz/article-10424085/Gwyneth-Paltrow-announces-new-Hands-Vagina-candle-benefitting-ACLU.html,"The new, limited-edition 'Hands Off My Vagina' candle is now available for $75, and Goop will be donating $25 from the sale of each candle to the organization.",2022-01-20 20:09:06,Christine Rendon For Dailymail.com
"Super Bowl LVI halftime show trailer: Snoop Dogg, Mary J Blige, Eminem, Dr Dre and Kendrick Lamar get the call to head to SoFi Stadium",/tvshowbiz/article-10424341/Super-Bowl-LVI-halftime-trailer-Snoop-Dogg-Mary-J-Blige-Eminem-Dr-Dre.html,"The February 13 show will feature a performance by Snoop Dogg, 50, Mary J. Blige, 51, Eminem, 49, Dr. Dre, 56, and Kendrick Lamar, 34. Straight Outta Compton director F Gary Gray created the trailer.",2022-01-20 20:11:46,Ashleigh Gray For Dailymail.Com
Jamie Lynn Spears celebrates her new book Things I Should Have Said topping Christian Inspirational best sellers list... as public drama with sister Britney rages on,/tvshowbiz/article-10424313/Jamie-Lynn-Spears-celebrates-new-book-topping-Christian-Inspirational-best-sellers-list.html,"Jamie Lynn has been publicly battling with sister Britney after the Toxic singer's attorney issued a cease-and-desist against the younger Spears, ordering her to stop talking about Britney on her tour.",2022-01-20 20:13:31,Tracy Wright
EXCLUSIVE 'I feel like she styled it out - and I'll just do the same!' Liberty Poole reflects on Gemma Collins' famous Dancing On Ice fall as she prepares for her debut skate ,/tvshowbiz/article-10422335/EXC-Liberty-Poole-reflects-Gemma-Collins-famous-Dancing-Ice-fall-ahead-skate.html,"The Love Islander, 22, reflected on how the former TOWIE star, 40, 'styled it out' after her 2019 week four fall, where she performed with professional skater Matt Evers.",2022-01-20 20:20:43,Millie Payne For Mailonline
EXCLUSIVE 'I have always felt like I could do anything I wanted to': Stef Reid sheds light on her prosthesis and its positive impact on her life ahead of her first Dancing On Ice appearance,/tvshowbiz/article-10422693/EXC-Stef-Reid-sheds-light-prosthesis-positively-impacted-life.html,"The track and field Paralympian, 37, lost her right foot in a boating accident at the age of 16 - and her life was saved by a surgeon in Toronto who amputated her right leg below the knee.",2022-01-20 20:21:22,Millie Payne For Mailonline
'I've been working on something HUGE!' Molly-Mae Hague flashes her abs in a chic cream suit as she teases London Fashion Week project with PLT,/tvshowbiz/article-10424293/Molly-Mae-Hague-teases-London-Fashion-Week-project-PLT.html,"The former Love Island star, 22, took to Instagram to share a stylish snap wearing a chic cream suit and shared with her fans the news of the upcoming plan.",2022-01-20 20:25:23,Amelia Wynne For Mailonline
"Chrisley slim down EXCLUSIVE! Todd, 52, has lost 13lbs and Julie, 49, has shed 27lbs as they diet together: 'It's something we've bonded over'",/tvshowbiz/article-10415907/Todd-Chrisley-lost-13-pounds-Julie-shed-27-pounds.html,Todd and Julie Chrisley have lost 40lbs between them: he shed 13lbs while she has taken off 27lbs. And this week they told DailyMail.com that they feel better than ever.,2022-01-20 20:29:04,Heidi Parker For Dailymail.com
I'm a Celebrity viewers turn on Beau Ryan after he QUIT the show because he missed his family: 'Will he not host the Amazing Race anymore then?',/tvshowbiz/article-10424309/Im-Celebrity-2022-Viewers-turn-Beau-Ryan-quit-show.html,"The former NRL player-turned-TV host, 36, abruptly quit the show during a late-night discussion with his campmates, saying he missed his family and needed to leave",2022-01-20 20:31:45,Jo Scrimshire
Angie Kent left furious after her elective surgery for a fibroid was cancelled due to Covid and says she is in 'a lot of pain',/tvshowbiz/article-10421155/Angie-Kent-furious-elective-surgery-cancellation.html,Former Bachelorette star Angie Kent has been left fuming after her elective surgery was cancelled due to Covid. ,2022-01-20 20:39:51,Chloe-lee Longhetti For Daily Mail Australia
Jesy Nelson puts on a busty display in a tiny bikini top and dungarees after jetting to Los Angeles and teasing new music,/tvshowbiz/article-10424373/Jesy-Nelson-puts-busty-display-tiny-bikini-Nineties-style-dungarees.html,Jesy Nelson looked incredible as she posed up a storm in Los Angeles on Thursday.,2022-01-20 20:55:54,Laura Parkin For Mailonline
"Mick Jagger's son Lucas, 22, dons a suave striped suit as he arrives for Louis Vuitton's Menswear Paris Fashion Week show",/tvshowbiz/article-10424351/Mick-Jaggers-son-Lucas-22-dons-suave-striped-suit-arrives-Louis-Vuittons-show.html,The 22-year-old oozed confidence as he paired his navy suit with a Louis Vuitton turtle neck at the Le Carreau Temple for Paris Fashion Week on Thursday.,2022-01-20 20:57:03,Jonathan Rose For Mailonline
The White Lotus season two will be filmed 'in Sicily at the Four Seasons Hotel San Domenico Palace',/tvshowbiz/article-10424445/The-White-Lotus-season-two-filmed-Sicely-Four-Seasons-Hotel-San-Domenico-Palace.html,The luxurious hotel - which is conveniently closed to guests through April 1 - is a former 14th-century convent beside the Ionian Sea and below an active volcano called Mount Etna,2022-01-20 20:57:52,Cassie Carpenter For Dailymail.Com
Elle Fanning looks virtually identical to Michelle Carter in first look at The Girl From Plainville ... as she transforms into the real life teenager at the center of tragic text-suicide case,/tvshowbiz/article-10424383/Elle-Fanning-spitting-image-Michelle-Carter-look-Girl-Plainville.html,"Elle Fanning is the spitting image of Michelle Carter, the woman convicted of involuntary manslaughter over the suicide of her then-boyfriend, in a first photo from The Girl from Plainville.",2022-01-20 21:10:37,Caitlyn Becker For Dailymail.com
Maddie & Tae singer Taylor Dye reveals she has given birth to daughter three months early and assures fans the child is 'strong': 'She's everything we have ever dreamed of',/tvshowbiz/article-10424407/Maddie-Tae-singer-Taylor-Die-announces-gave-birth-early-daughter-Leighton.html,"The baby, who was expected to arrive in spring 2022, was born on January 17, 2022.",2022-01-20 21:12:16,Christine Rendon For Dailymail.com
Sha'Carri Richardson shuts down speculation that she'll join Celebrity Big Brother... while NeNe Leakes and Erika Jayne also won't be featured,/tvshowbiz/article-10424437/ShaCarri-Richardson-shuts-speculation-shell-join-Celebrity-Big-Brother.html,A representative for the 21-year-old track star claimed she had turned down an offer to appear on Celebrity Big Brother season three.,2022-01-20 21:12:42,Brian Marks For Dailymail.com
Rachel Riley shares adorable snaps of husband Pasha Kovalev with their daughters Maven and Noa as they celebrate his 42nd birthday,/tvshowbiz/article-10424451/Rachel-Riley-celebrates-husband-Pasha-Kovalevs-32nd-birthday.html,"The Countdown presenter, 36, took to Instagram and shared several adorable photos of Pasha cradling their daughters Maven, two and Noa, two months.",2022-01-20 21:23:25,Sean O'grady For Mailonline
EXCLUSIVE: Kim Kardashian showcases her famous hourglass curves in a bright blue bikini crop top and matching bottoms for tropical photoshoot for her rumored Skims swimwear line,/tvshowbiz/article-10424199/Kim-Kardashian-showcases-famous-hourglass-curves-bright-blue-bikini-crop-bottoms.html,She's enjoyed a romantic getaway with Pete Davidson to kick off the New Year to the Bahamas. And Kim Kardashian was back to business on Tuesday while on a tropical getaway.,2022-01-20 21:23:42,Sarah Sotoodeh For Dailymail.com
Brian Cox admits he had a 'quarrel' over how Succession finale was edited and teases a tense scene with Kieran Culkin that was cut from season three,/tvshowbiz/article-10424623/Brian-Cox-admits-dissatisfaction-Succession-season-three-finale.html,"Although Cox, 75, said that ultimately 'the ending was great' he revealed that there were other scenes that were cut that could have made for something  different.",2022-01-20 21:29:12,George Stark For Dailymail.com
Stacey Solomon blocks fiancé Joe Swash on Instagram so she doesn't ruin his 40th birthday surprise as she makeovers an entire room of Pickle Cottage for him,/tvshowbiz/article-10424501/Stacey-Solomon-blocks-fianc-Joe-Swash-Instagram.html,"The TV personality, 32, is preparing a huge room makeover for Joe to mark his milestone birthday, but doesn't want him peeking at the progress on her social media.",2022-01-20 21:32:39,Amelia Wynne For Mailonline
'Ready to turn up the heat!': Ciara gets her neck kissed by husband Russell Wilson in a sultry video to promote their scent line R&C Fragrance,/tvshowbiz/article-10424173/Ciara-gets-neck-kissed-husband-Russell-Wilson-plug-R-C-Fragrance.html,"Ciara and Russell Wilson were seen getting very close in a new advertisement for their perfume line, R&C Fragrance, that was shared to the former's Instagram account.",2022-01-20 21:41:49,Sam Joseph Semon For Dailymail.com
Australian Survivor host Jonathan LaPaglia reveals how a new location makes this year's season more 'brutal' than ever before,/tvshowbiz/article-10424441/Australian-Survivor-2022-season-brutal-says-Jonathan-LaPaglia.html,"As fans eagerly await the new season of Australian Survivor, the show's host Jonathan LaPaglia has revealed some 'brutal' new details about what to expect",2022-01-20 21:42:28,Abi Moustafa
Nick Cannon says he suffers from  body image issues that have impacted his sex life: 'I definitely have an insecurity when it comes to being intimate',/tvshowbiz/article-10424447/Nick-Cannon-says-suffers-body-image-issues-impacted-sex-life.html,Nick Cannon revealed that he suffers from insecurity and body image issues that have impacted his sex life during during Wednesday's episode of his eponymous talk show.,2022-01-20 21:50:22,Ashley Hume For Dailymail.Com
"Newsreaders, WAGs and reality stars turn on Covid-zero zealot Mark McGowan after his 'heartbreaking' decision to keep WA shut despite promising to reopen borders - as they beg Scott Morrison to intervene",/tvshowbiz/article-10424467/WA-closed-Celebrities-turn-Mark-McGowan-Covid-border-backflip.html,Western Australia Premier Mark McGowan is facing intense backlash from public figures after announcing the state's borders will remain closed indefinitely,2022-01-20 21:51:59,Jo Scrimshire
Teri Hatcher reveals she miscarried while trying for a second baby via sperm donor during her early 40s ,/tvshowbiz/article-10424539/Teri-Hatcher-reveals-miscarried-trying-second-baby-sperm-donor.html,"The 57-year-old has one daughter, Emerson Tenney, 24, whom she shares with ex husband Jon Tenney.",2022-01-20 21:52:28,Ashleigh Gray For Dailymail.Com
Joshua Jackson is stepping into Michael Douglas' role as a cheating husband in a TV series version of the 1987 hit movie Fatal Attraction,/tvshowbiz/article-10424335/Joshua-Jackson-set-star-Fatal-Attraction-television-series-based-1987-movie-name.html,"Joshua Jackson will have big shoes to fill when he takes on an iconic role in and upcoming series. The actor, 43, will play the lead role in the Fatal Attraction television series based on the film of the same name.",2022-01-20 22:01:14,Mark Mcgreal For Dailymail.Com
The Apprentice EXCLUSIVE: 'I don't take s**t from anyone!' Fired Navid Sole hits out at Sophie Wilding for 'throwing him under the bus' in the boardroom,/tvshowbiz/article-10423535/EXC-Apprentices-Navid-Sole-hits-Sophie-Wilding-throwing-bus.html,"The 27-year-old pharmacist said that the cocktail bar owner, 32, 'threw him under the bus' after they competed on the same team attempting to make booze-free versions of the nation's top tipples.",2022-01-20 22:03:40,Millie Payne For Mailonline
She's just like us! Makeup free Nadia Bartel reveals she has acne and shows off the 'sore skin pimples' on her face ,/tvshowbiz/article-10424745/Makeup-free-Nadia-Bartel-reveals-acne-shows-sore-skin-pimples-face.html,She always looks flawless on her picture perfect Instagram page.,2022-01-20 22:04:50,Jade Watkins for Daily Mail Australia
Kendall Jenner leaves little to the imagination as she flashes underboob in a TINY G-string bikini while holidaying in Aspen,/tvshowbiz/article-10424785/Kendall-Jenner-plays-snow-wearing-tiny-black-string-bikini-holiday-Aspen.html,The 26-year-old reality star showed off her incredible figure wearing a daring two-piece number in shots shared to Instagram on Thursday afternoon from her winter wonderland.,2022-01-20 22:13:52,Tracy Wright For Dailymail.com
Anna Kendrick and Bill Hader have been 'quietly' dating for more than a year... after the lovebirds starred together in the Disney film Noelle,/tvshowbiz/article-10424591/Anna-Kendrick-Bill-Hader-quietly-dating-year.html,"A source told People the 36-year-old Pitch Perfect star and the 43-year-old SNL legend have been together for over a year, as the ongoing pandemic has made it easy for them to keep things low key.",2022-01-20 22:17:53,Brian Marks For Dailymail.com
Michelle Dockery is to marry Fleabag star Phoebe Waller-Bridge's brother... six years after she was hit by tragedy,/tvshowbiz/article-10424695/Michelle-Dockery-marry-Jasper-Waller-Bridge-six-years-former-fiances-tragic-death.html,"Downton Abbey star, Michelle Dockery, 40, appears to have healed her broken heart as she revealed her engagement to Phoebe Waller-Bridge's brother Jasper on Thursday.",2022-01-20 22:19:01,Kamal Sultan
Holy runtime! Robert Pattinson's The Batman movie set to be longest film in the franchise EVER at nearly three hours,/tvshowbiz/article-10424689/Robert-Pattinson-Batman-movie-set-longest-film-franchise-ever.html,The hotly-anticipated comic book film is said to have a running time of two hours and 55 minutes,2022-01-20 22:19:15,George Stark For Dailymail.com
Jesinta Franklin reveals her VERY healthy day on a plate - but she still manages to indulge her sweet tooth with a surprising dessert ,/tvshowbiz/article-10424491/Jesinta-Franklin-reveals-healthy-day-plate.html,Model and AFL WAG Jesinta Franklin is known for her incredible figure and health-conscious lifestyle. ,2022-01-20 22:19:45,Chloe-lee Longhetti For Daily Mail Australia
Nick Kyrgios' girlfriend Costeen Hatzi says he's 'still a winner in my eyes' after his second-round loss to world No. 2 Daniil Medvedev,/tvshowbiz/article-10424521/Australian-Open-Nick-Kyrgios-girlfriend-Costeen-Hatzi-says-hes-winner.html,"Following his second-round loss, Nick's girlfriend Costeen Hatzi shared a tribute to her beau on Instagram, saying he put on a winning performance despite losing to the world No. 2",2022-01-20 22:31:48,Mary Mrad For Daily Mail Australia
'Why did they make her get up at 4.30 just to announce her exit?' Devastated Apprentice fans react to Shama Amin leaving due to ill health - as Navid is fired following chaotic drinks task,/tvshowbiz/article-10424469/Devastated-Apprentice-fans-react-Shama-Amin-leaving-ill-health.html,The Apprentice viewers have shared their reactions to Shama Amin's exit from the show and questioned why she was forced to get up just to announce her departure.,2022-01-20 22:39:10,Charlotte Dean For Mailonline
Cardi B is called an 'angel' by family member of tragic Bronx apartment fire victims after announcing she'll cover funeral costs: 'My family cannot thank you enough for what you've done',/tvshowbiz/article-10424629/Cardi-B-called-angel-family-member-tragic-Bronx-apartment-fire-victims.html,Cardi B was called an 'angel' by one of the family members of the victims of the deadly apartment fire in The Bronx. She previously announced that she would cover funeral and burial costs.,2022-01-20 22:42:01,Sam Joseph Semon For Dailymail.com
Reese Witherspoon becomes the first Oscar-winning actress to sign up for Cbeebies Bedtime Stories,/tvshowbiz/article-10424165/Reese-Witherspoon-Oscar-winner-sign-Cbeebies-Bedtime-Stories.html,Reese Witherspoon will become the first Oscar winning actress to feature on CBeebies Bedtime Stories as she is set to help the nation's children get to sleep. ,2022-01-20 22:45:32,Laura Parkin For Mailonline
"Why Pamela Anderson is seething over Lily James's 'disgusting' TV drama about her sex tape as the Baywatch legend's sixth marriage ends, writes ALISON BOSHOFF ",/tvshowbiz/article-10424787/ALISON-BOSHOFF-Pamela-Anderson-seething-Lily-Jamess-disgusting-TV-drama.html,"ALISON BOSHOFF: She has declined to engage in any way with the makers of the show, turning a deaf ear even to sweetly framed entreaties from Lily James, the actress portraying her.",2022-01-20 22:47:40,Alison Boshoff for the Daily Mail
